Submitter,Terminal Owner Name,TERMINAL ID,Address,TERMINAL CITY/TOWN/LOCALITY,TERMINAL COUNTY/PROVINCE,TERMINAL POSTAL CODE,TERMINAL COUNTRY,TERMINAL GEO COORDINATES
Shell,BotanyBay B Vopak depot,TAU000001,49 Friendship Road            ,Port Botany              ,,2036,Australia,
Shell,Botn Vopak BitDepot               ,TAU000002,Unwin Street                  ,Granville              ,,2142,Australia,
Shell,Kwinana Coogee depot,TAU000003,Patterson Road                ,Kwinana                  ,,6167,Australia,
Shell,Hobart Caltex depot       ,TAU000004,Selfs Point Road,New Town,,7008,Australia,
Shell,DarwinEArm Vopak depot,TAU000005,780 Berrimah Road,East Arm                 ,,828,Australia,
Shell,Shell/BP Newcastle         ,TAU000006,5 Chatham Road       ,Hamilton      ,,2303,Australia,
Shell,Shell/Caltex Pt Hedland,TAU000007,Wilson Street,Port Hedland             ,,6721,Australia,
Shell,Newcastle Stolthv depot,TAU000008,,Newcastle                ,,2300,Australia,
Shell,Birkenhead Mobil depot,TAU000009,Elder Road,Birkenhead           ,,5015,Australia,
Shell,Gladstone BP depot        ,TAU000010,McLintock Street,Gladstone,,4680,Australia,
Shell,Geelong,TAU000011,,Geelong,,,Australia,
Shell,Shell Austria GmbH - Linz,TAT000001,Am Tankhafen 6,Linz,,A-4020,Austria,
Shell,Shell Austria GmbH - Lobau,TAT000002,Lobgrundstrasse 3,Wien,,A-1220,Austria,
OMV,OMV R&M GmbH,TAT000003,Mannswörtherstraße 28,Schwechat,,2320,Austria,
OMV,OMV R&M GmbH,TAT000004,Lobgrundstraße 2,Lobau,,1223,Austria,
OMV,OMV R&M GmbH,TAT000005,Wienerstraße 5,St. Valentin,,4300,Austria,
DCC Energy Austria,DCC Energy Austria GmbH - Graz,TAT000006,Alte Poststraße 400,Graz,,8055,Austria,
DCC Energy Austria,DCC Energy Austria GmbH - Klagenfurt,TAT000007,Flatschacherstraße 87,Klagenfurt,,9020,Austria,
DCC Energy Austria,DCC Energy Austria GmbH - Innsbruck,TAT000008,Karwendelstraße 3,Innsbruck,,6020,Austria,
OMV,OMV R&M GmbH,TAT000009,,Schwechat,,2320,Austria,
Shell,TBG,TAT000010,,Salzburg,,,Austria,
Argos,Argos (Varo),TBE000001,Wiedauwkaai 75,Ghent,Oost-Vlaanderen,B-9000,Belgium,
Argos,Argos (Varo),TBE000002,Aarschotseweg 26,Herentals,Antwerpen,B-2200,Belgium,
Argos,Argos (Varo),TBE000003,Schaarbeeklei 600,Vilvoorde,Vlaams-Brabant,B-1800,Belgium,
Argos,Argos (Varo),TBE000004,Herderstraat 8,Hasselt,Limburg,B-3500,Belgium,
Argos,Argos (Varo),TBE000005,Pathoekeweg 74,Brugge,West-Vlaanderen,B-8000,Belgium,
Argos,Argos (Varo),TBE000006,Bossuitstraat 9,Bossuit-Avelgem,West-Vlaanderen,B-8583,Belgium,
ExxonMobil,ExxonMobil,TBE000007,Scheldelaan,Antwerpen,,B-2030,Belgium,
ExxonMobil,ExxonMobil,TBE000008,Rue Ernest Solvay 339,SCLESSIN,,B-4000,Belgium,
ExxonMobil,ExxonMobil,TBE000009,Rue de l'Ancienne Poetnce 18,TOURNAI,,B-7501,Belgium,
Vopak,Vopak Terminal ACS,TBE000010,Scheldelaan 410 Port no. 503,Antwerpen,,B-2040,Belgium,
Vopak,Vopak Terminal Linkeroever,TBE000011,Haandorpweg Port no. 1313,Kallo,,B-9130,Belgium,
Vopak,Vopak Terminal Eurotank,TBE000012,Industrieweg 16 Port no. 399,Antwerpen,,B-2030,Belgium,
Argos,Argos (Varo),TBE000013,Pantserschipstraat 301,Ghent,Oost-Vlaanderen,B-9000,Belgium,
Argos,Alca,TBE000014,D’Herbouvillekaai 103,Antwerpen,,B-2020,Belgium,
Argos,BML,TBE000015,Rue du Dossay 2,Liège,,B-4020,Belgium,
Argos,Vesta,TBE000016,Scheldelaan 470,Antwerpen,,B-2040,Belgium,
ExxonMobil,Total,TBE000017,,Feluy,,,Belgium,
ExxonMobil,LukOil,TBE000018,,Neder-over-Heembeek,,B-1120,Belgium,
ExxonMobil,Total,TBE000019,,Wandre,,,Belgium,
ExxonMobil,UniTank,TBE000020,Regenbeekstraat 60,Roeselare,,8800,Belgium,
ExxonMobil,Total,TBE000021,Hendrik Baelskaai 10a,Oostende,,8400,Belgium,
Argos,Argos (Varo),TBE000022,Wondelgemkaai 142,Ghent,Oost-Vlaanderen,B-9000,Belgium,
Argos,Argos (Varo),TBE000023,Rue de Berloz 3,Liege,Liege,B-4000,Belgium,
Argos,Argos (Varo),TBE000024,Kanaaldijk 3,Brussel (Anderlecht),Bruxelles,B-1070,Belgium,
Shell,PPST (Joint Q8/Delek),TBE000025,Avenue de l'Indépendance 93,Wandre,,4020,Belgium,
Varo Energy,Total,TBE000026,Scheldelaan 14,Antwerpen,Antwerpen,2030,Belgium,
ExxonMobil,ExxonMobil,TCA000001,2225 IOCO RD,IOCO,British Columbia,V3H 3C8,Canada,
ExxonMobil,ExxonMobil (Refinery),TCA000002,3910 92 AVE,EDMONTON,Alberta,T6C 4G3,Canada,
ExxonMobil,ExxonMobil,TCA000003,18 RUE RETTY,SEPT-ILES,Quebec,G4R 4K9,Canada,
ExxonMobil,Husky,TCA000004,5310  52 ST,LLOYDMINSTER,Alberta,T9V 0R7,Canada,
ExxonMobil,Chevron,TCA000005,PORT HARDY,PORTHARDY,British Columbia,V0N 2P0,Canada,
ExxonMobil,ExxonMobil,TCA000006,1150 FINCH AVE W,DOWNSVIEW,Ontario,M3J 2E4,Canada,
ExxonMobil,ExxonMobil,TCA000007,7 CONNORS ROAD,CORNERBROOK,Newfoundland and Labrador,A2H 3G5,Canada,
ExxonMobil,ExxonMobil,TCA000008,585 PLEASANT ST,DARTMOUTH,Nova Scotia,B2Y 3Z7,Canada,
ExxonMobil,ExxonMobil,TCA000009,1 GEORGE ST,SYDNEY,Nova Scotia,B1P 6H4,Canada,
ExxonMobil,ExxonMobil,TCA000010,CONCESSION RD 3,NANTICOKE,Ontario,N0A 1L0,Canada,
ExxonMobil,ExxonMobil,TCA000011,1961 MERIVALE ROAD,NEPEAN,Ontario,K2G 1G1,Canada,
ExxonMobil,ExxonMobil,TCA000012,675 VIDAL ST S,SARNIA,Ontario,N7T 7J2,Canada,
ExxonMobil,ExxonMobil,TCA000013,52 BLACK ROAD,SAULTSTEMARIE,Ontario,P6A 6J8,Canada,
ExxonMobil,ExxonMobil,TCA000014,1160 KELLY LAKE RD,SAULTSTEMARIE,Ontario,P3E 5P4,Canada,
ExxonMobil,ExxonMobil,TCA000015,9910 BARLOW TRAIL SE,CALGARY,Alberta,T2J 2V2,Canada,
ExxonMobil,ExxonMobil,TCA000016,550 MCDONALD ST,REGINA,Saskatchewan,S4N 4X2,Canada,
ExxonMobil,ExxonMobil,TCA000017,2925  HENDERSON HWY,WINNIPEG,Manitoba,R2E 0E9,Canada,
ExxonMobil,ExxonMobil,TCA000018,3232 UNDERHILL AVE,BURNABY,British Columbia,V5A 3C7,Canada,
ExxonMobil,ExxonMobil,TCA000019,2000 ZORKIN RD,NANAIMO,British Columbia,V9R 5L3,Canada,
ExxonMobil,Suncor Canada,TCA000020,9955  BARNETT HHY,PORTMOODY,British Columbia,V3H 3E1,Canada,
ExxonMobil,COOP,TCA000021,9TH AVE N,REGINA,Saskatchewan,S4P 3A1,Canada,
ExxonMobil,Chevron,TCA000022,COBBLE HILL,COBBLEHILL,British Columbia,V0R 1L1,Canada,
ExxonMobil,Suncor Canada,TCA000023,MONTREAL,MONTREAL,Quebec,H1B 1A1,Canada,
ExxonMobil,Suncor Canada,TCA000024,715 MCPHERSON ROAD,OAKVILLE,Ontario,L6L 6S9,Canada,
ExxonMobil,Valero,TCA000025,LT 29 CONCESSION 1 MAITLAND RD,MAITLAND,Ontario,K0E 1P0,Canada,
ExxonMobil,Shell Canada,TCA000026,CHEMAINUS,CHEMAINUS,British Columbia,V0R 1K0,Canada,
ExxonMobil,ExxonMobil,TCA000027,S E 8-1-1W,GRETNA,Manitoba,R0G 0V0,Canada,
ExxonMobil,ExxonMobil,TCA000028,165 CH PRINCIPAL,CAP-AUX-MEULES,Quebec,G4T 1C4,Canada,
ExxonMobil,Suncor Canada,TCA000029,9  LEBRUN ST,RIMOUSKI,Quebec,G5L 2P8,Canada,
ExxonMobil,Suncor Canada,TCA000030,1985  MERIVALE RD,NEPEAN,Ontario,K2G 1G1,Canada,
ExxonMobil,Suncor Canada,TCA000031,300  106TH ST MISSION ISLAND,THUNDERBAY,Ontario,P7C 4W4,Canada,
