code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
A20,AVIATION GASOLINE,,,N,,100/130 LOW LEAD,,31-Dec-92
A21,Unbranded Aviation Gasoline 100/LL,AVIATION GASOLINE,,,,AVIATION GASOLINE,BRENT BOWDEN,30-Apr-19
A25,AVIATION GASOLINE,,,N,,100/130 HIGH LEAD,,31-Dec-92
B00,FUEL ETHANOL,ALTERNATIVE FUEL - Ed79-83,,A,79-83,Ed79-83%  ETHANOL/21-17%  CaRFG3 CARB E85 fuel Class 2,STEVE WOOD,26-Mar-19
B01,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B02,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B03,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% REGULAR GASOLINE,JEAN PICKETT,20-Jul-04
B04,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% REGULAR GASOLINE,HERMAN WISNESKI,6-Jan-06
B05,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B06,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B07,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% SUBGRADE 84 GASOLINE,MARGARET WARD,5-Dec-08
B08,FUEL ETHANOL,ALTERNATIVE FUEL - Ed30,,A,30,Ed30 30% ETHANOL/70% REGULAR GASOLINE,JEAN PICKETT,4-May-10
B09,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85%  ETHANOL/15% PREMIUM GASOLINE,MARGARET WARD,8-Jun-10
B12,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B13,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B14,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% CBOB-SUBGRADE CG 83,JEAN PICKETT,16-Sep-10
B15,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% RBOB REG 85,JEAN PICKETT,16-Sep-10
B16,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% RBOB REG 85,JEAN PICKETT,16-Sep-10
B17,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% RBOB REG 85,JEAN PICKETT,16-Sep-10
B18,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% CBOB-SUBGRADE CG 83,KARL DIETHRICK,23-Feb-11
B19,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% RBOB REG 85,JEAN PICKETT,10-May-11
B22,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% RBOB REG 85,JEAN PICKETT,10-May-11
B23,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% RBOB REG 85,JEAN PICKETT,10-May-11
B24,FUEL ETHANOL,ALTERNATIVE FUEL - Ed85,,A,85,Ed85 85% ETHANOL/15% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B25,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B26,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% REGULAR GASOLINE,JEAN PICKETT,16-May-11
B27,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% SUBGRADE 82.5 OCTANE,MARGARET WARD,8-Nov-11
B28,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 82.5 OCTANE,MARGARET WARD,15-May-12
B29,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 85 OCTANE,MARGARET WARD,15-May-12
B30,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B32,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B33,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B34,FUEL ETHANOL,ALTERNATIVE FUEL - Ed60,,A,60,Ed60 60% ETHANOL/40% SUBGRADE 84 OCTANE,MARGARET WARD,15-May-12
B35,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B36,FUEL ETHANOL,ALTERNATIVE FUEL - Ed65,,A,65,Ed65 65% ETHANOL/35% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B37,FUEL ETHANOL,ALTERNATIVE FUEL - Ed70,,A,70,Ed70 70% ETHANOL/30% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B38,FUEL ETHANOL,ALTERNATIVE FUEL - Ed75,,A,75,Ed75 75% ETHANOL/25% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
B39,FUEL ETHANOL,ALTERNATIVE FUEL - Ed80,,A,80,Ed80 80% ETHANOL/20% CBOB SUBGRADE CG 83 OCTANE,JEAN PICKETT,25-Mar-13
